Item,Qty,Reference,Value,MPN,Manufacturer,Description,Footprint
1,1,C1,100n,,,,'CAP_CL05_SAM-M_C1'
2,1,C10,4.7uF,,,,'CAP_0603_CL10A_1P6XP8_SAM-M_C10'
3,1,C12,.1uf,,,,'CAP_CL10_SAM-M_C12'
4,1,C14,470pF,,,,'CAP_0603G_AVX-M_C14'
5,1,C2,100n,,,,'CAP_CL05_SAM-M_C2'
6,1,C20,10uF,,,,'G-21_MUR-L_C20'
7,1,C21,10uF,,,,'G-21_MUR-L_C21'
8,1,C22,.1uF,,,,'CAPC17595_95N_KEM-L_C22'
9,1,C23,47pF,,,,'CAP_GJM1555C1H220JB01__MUR-L_C23'
10,1,C3,100n,,,,'CAP_CL05_SAM-M_C3'
11,1,C4,100n,,,,'CAP_CL05_SAM-M_C4'
12,1,C5,100n,,,,'CAP_CL05_SAM-M_C5'
13,1,C6,100n,,,,'CAP_CL05_SAM-M_C6'
14,1,C7,100n,,,,'CAP_CL05_SAM-M_C7'
15,1,C8,100n,,,,'CAP_CL05_SAM-M_C8'
16,1,C9,100n,,,,'CAP_CL05_SAM-M_C9'
17,1,CANHEADER,CONN_B4B-XH-A,B4B-XH-A(LF)(SN),JST,4-pin XH Header 2.5mm pitch,'CONN_B4B-XH-A_JST_CANHEADER'
18,1,CEXT,4.7 uF,,,,'CAP_0603_CL10A_1P6XP8_SAM-M_CEXT'
19,1,CIN,10uF,,,,CAP_NTS_55_2P8T_NIP_CIN
20,1,COUT,10uf,,,,'G-31_MUR-M_COUT'
21,1,COUT1,10uf,,,,'G-31_MUR-M_COUT1'
22,1,GND,Battery-,,,,AMV_CON1_GND
23,1,GPSMODULE,CONN5_1LFBN-RC,PPTC051LFBN-RC,Sullins,"5-pin 0.1"" Header",'CONN5_1LFBN-RC_SUL_GPSMODULE'
24,1,JTAG,CONN_010P_000C_1,SBH11-PBPC-D05-ST-BK,Sullins,2x5 IDC Header 2.54mm JTAG,'CONN_SBH11-PBPC-D05-ST-BK_SUL_JTAG'
25,1,L1,4.7uH,,,,IND_1608_TDK_L1
26,1,L3,INDUCTOR,,,,'IND_BLM15_0402_MUR-L_L3'
27,1,L4,INDUCTOR,,,,'IND_BLM15_0402_MUR-L_L4'
28,1,LORAMODULE,CONN5_1LFBN-RC,PPTC051LFBN-RC,Sullins,"5-pin 0.1"" Header",'CONN5_1LFBN-RC_SUL_LORAMODULE'
29,1,R1,15K,,,,'RC0402N_PAN-M_R1'
30,1,R2,4.7K,,,,'RC0603N_YAG-M_R2'
31,1,R3,51,,,,'RC0402N_YAG-M_R3'
32,1,R4,5.1K,,,,'RC0402N_PAN-M_R4'
33,1,R5,30K,,,,'RES_R0805_ROM-M_R5'
34,1,R6,10K,,,,'RES_1005_SAM-M_R6'
35,1,SPEEDCONTROLLER,CONN_PPTC031,PPTC031LFBN-RC,Sullins,"3-pin 0.1"" Header",CONN_PPTC031_SUL_SPEEDCONTROLLER
36,1,STEERINGSERVO,CONN_PPTC031,PPTC031LFBN-RC,Sullins,"3-pin 0.1"" Header",CONN_PPTC031_SUL_STEERINGSERVO
37,1,TP1,TEST POINT,,,,AMV_TEST_POINT_TP1
38,1,TP3,TEST POINT,,,,AMV_TEST_POINT_TP3
39,1,TP4,TEST POINT,,,,AMV_TEST_POINT_TP4
40,1,TP5,TEST POINT,,,,AMV_TEST_POINT_TP5
41,1,U1,SB007-03Q-TL-E,SB007-03Q-TL-E,ON Semiconductor,ESD Protection Diode SOT-323,'SOT-323-3_2X1P25_ONS-L_U1'
42,1,U3,STM32F4XXR2,STM32F446RET6,STMicroelectronics,MCU ARM Cortex-M4 180MHz 512KB Flash LQFP-64,'LQFP64-10X10MM_U3'
43,1,U5,TCAN1042H-Q1D,TCAN1042HDRQ1,Texas Instruments,CAN Transceiver 5Mbps 3.3V SOIC-8,D0008A_L_U5
44,1,U6,R1240N001x,R1240N001B-TR-FE,Ricoh,1.5MHz Step-Down DC/DC Converter SOT-23-6,'SOT-23-6W_PE-SOT23-6W-0512_NMD_U6'
45,1,VIN,Battery+,,,,AMV_CON1_VIN
