Reference,MPN,Value,Side,KiCad rotation degrees,Pad 1 net,Pad map,Required check,Verified by,Verified date
CANHEADER1,B4B-XH-A(LF)(SN),B4B-XH-A,Top,180.0,GND,1=GND; 2=CAN_VCC; 3=CANH; 4=CANL,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
D21,"CMS06(TE12L,Q,M)","CMS06(TE12L,Q,M)",Top,-90.0,GND,1=GND; 2=SW_NODE,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
GPSMODULE1,PPTC051LFBN-RC,PPTC051LFBN-RC,Top,0.0,+3V3,1=+3V3; 2=GND; 3=GPS_PB0; 4=GPS_RX_PC11; 5=GPS_TX_PC10,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
JTAG1,FTSH-105-01-L-DV-K,FTSH-105-XX-X-DV,Top,0.0,+3V3,1=+3V3; 2=SWDIO; 3=GND; 4=SWCLK; 5=GND; 6=SWO_TDO; 7=NC; 8=TDI; 9=GND; 10=NRST,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
LORAMODULE1,PPTC051LFBN-RC,PPTC051LFBN-RC,Top,0.0,LORA_VCC,1=LORA_VCC; 2=LORA_TX_PA0; 3=LORA_RX_PA1; 4=LORA_RST_PA3; 5=GND,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
SPEEDCONTROLLER1,PPTC031LFBN-RC,PPTC031LFBN-RC,Top,-90.0,+3V3,1=+3V3; 2=PWM_PA8_ESCHDR; 3=GND,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
STEERINGSERVO1,PPTC031LFBN-RC,PPTC031LFBN-RC,Top,90.0,+3V3,1=+3V3; 2=PWM_PC6_SERVOHDR; 3=GND,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
U3,STM32F446RET6,STM32F446RET6,Top,0.0,VBAT,1=VBAT; 2=NC; 3=NC; 4=NC; 5=NC; 6=NC; 7=NRST; 8=NC; 9=NC; 10=NC; 11=NC; 12=GND; 13=+3V3; 14=LORA_TX_PA0; 15=LORA_RX_PA1; 16=ADC_VBAT; 17=LORA_RST_PA3; 18=GND; 19=+3V3; 20=NC; 21=NC; 22=NC; 23=NC; 24=NC; 25=NC; 26=GPS_PB0; 27=NC; 28=NC; 29=NC; 30=VCAP1; 31=GND; 32=+3V3; 33=NC; 34=NC; 35=NC; 36=NC; 37=PWM_PC6_SERVOHDR; 38=NC; 39=NC; 40=NC; 41=PWM_PA8_ESCHDR; 42=NC; 43=CAN_RXD_PA10; 44=CAN_STB_PA11; 45=CAN_TXD_PA12; 46=SWDIO; 47=GND; 48=+3V3; 49=SWCLK; 50=TDI; 51=GPS_TX_PC10; 52=GPS_RX_PC11; 53=NC; 54=NC; 55=SWO_TDO; 56=NC; 57=NC; 58=NC; 59=NC; 60=NC; 61=NC; 62=NC; 63=GND; 64=+3V3,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
U5,TCAN1042HDRQ1,TCAN1042HDRQ1,Top,90.0,CAN_TXD_PA12,1=CAN_TXD_PA12; 2=GND; 3=CAN_VCC; 4=CAN_RXD_PA10; 5=NC; 6=CANL; 7=CANH; 8=CAN_STB_PA11,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
U6,R1240N001B-TR-FE,R1240N001B-TR-FE,Top,0.0,EN,1=EN; 2=VIN_RAW; 3=SW_NODE; 4=BST; 5=GND; 6=FB_DIV,Match exact manufacturer pin numbering/polarity/key to this electrical pad map; pin 1 is not a universal polarity mark,,
