Reference,Value,MPN,Side,X mm from outline left,Y mm from outline top,KiCad rotation degrees,Pad 1 net,Status,Footprint
C1,0.1uF,KGM21NR71H104KT,Top,52.6796,7.366,0.0,GND,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:CAP_KGM21_KAV-L
C10,4.7uF,CL10A475KP8NNNC,Top,37.0332,27.1018,0.0,GND,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:CAP_0603_CL10A_1P6XP8_SAM-M
C12,0.1uF,CL10B104KB8NNNC,Top,16.5354,34.2138,90.0,SW_NODE,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:CAP_CL10_SAM-M
C14,470pF,06035A471JAT2A,Top,12.6238,30.3276,-90.0,+3V3,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:CAP_0603G_AVX-M
C2,0.1uF,KGM21NR71H104KT,Top,30.8864,16.9418,-90.0,GND,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:CAP_KGM21_KAV-L
C20,10uF,GRM21BR61C106KE15L,Top,8.4582,20.2692,90.0,LORA_FILT,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:G-21_MUR-L
C21,10uF,GRM21BR61C106KE15L,Top,11.9126,20.2692,90.0,GND,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:G-21_MUR-L
C22,0.1uF,KGM21NR71H104KT,Top,13.5128,20.2946,90.0,GND,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:CAP_KGM21_KAV-L
C23,47pF,GJM1555C1H220JB01D,Top,14.6812,20.1676,90.0,GND,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:CAP_GJM1555C1H220JB01__MUR-L
C3,0.1uF,KGM21NR71H104KT,Top,35.9156,8.7376,180.0,GND,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:CAP_KGM21_KAV-L
C4,0.1uF,KGM21NR71H104KT,Top,36.83,24.4094,0.0,GND,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:CAP_KGM21_KAV-L
C5,0.1uF,KGM21NR71H104KT,Top,42.164,32.5374,180.0,GND,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:CAP_KGM21_KAV-L
C6,0.1uF,KGM21NR71H104KT,Top,44.7802,24.6126,0.0,GND,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:CAP_KGM21_KAV-L
C7,0.1uF,KGM21NR71H104KT,Top,47.7012,11.7348,90.0,GND,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:CAP_KGM21_KAV-L
C8,0.1uF,KGM21NR71H104KT,Top,62.7126,18.415,-90.0,GND,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:CAP_KGM21_KAV-L
C9,0.1uF,KGM21NR71H104KT,Top,62.9158,29.591,90.0,GND,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:CAP_KGM21_KAV-L
CANHEADER1,B4B-XH-A,B4B-XH-A(LF)(SN),Top,53.1622,2.8702,180.0,GND,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:CONN_B4B-XH-A_JST
CEXT1,4.7uF,CL10A475KP8NNNC,Top,42.4688,25.7048,-90.0,VCAP1,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:CAP_0603_CL10A_1P6XP8_SAM-M
CIN1,10uF,KTS500B106M55N0T00,Top,5.6642,31.7754,90.0,GND,REVIEW ONLY - not assembler-normalized centroid,LoRa_Boat_Controller:CAP_NTS_55_2P8T_NIP
