Manufacturer Part Number,Quantity,Manufacturer,Customer Reference
0468003.NR,1,Littelfuse,F1
06035A150JAT2A,2,Kyocera AVX,C25 C26
06035A471JAT2A,1,Kyocera AVX,C4
ABM8-8.000MHZ-10-1-U-T,1,Abracon,Y1
B3B-XH-A(LF)(SN),2,JST,J2 J3
BLM15AG601SN1D,2,Murata,FB2 FB3
BLM18AG601SN1D,1,Murata,FB1
BZT52C10-7-F,1,Diodes Inc,D2
CL10A105KB8NNNC,1,Samsung,C21
CL10A475KP8NNNC,1,Samsung,C20
CL10B104KB8NNNC,1,Samsung,C3
CRA2512-FZ-R020ELF,1,Bourns,R33
EEE-FK1A101P,1,Panasonic,C11
EEE-FK1H470P,1,Panasonic,C1
GJM1555C1H470JB01D,1,Murata,C32
GRM21BR61A106KE19L,4,Murata,C19 C29 C30 C35
GRM21BR61C106KE15L,1,Murata,C12
GRM31CR71E106KA12L,2,Murata,C5 C6
GRM32ER71H106KA12L,1,Murata,C2
KGM15ACG1H104KT,10,Kyocera AVX,C15 C16 C17 C18 C22 C23 C24 C31 C33 C36
KMR221GLFS,1,C&K,SW1
LTST-C193KGKT-5A,1,Lite-On,D5
LTST-C193KRKT-5A,1,Lite-On,D8
LTST-C193KSKT-5A,1,Lite-On,D7
LTST-C193TBKT-5A,1,Lite-On,D6
"PESD5V0S1BA,115",2,Nexperia,D10 D11
PPTC051LFBN-RC,1,Sullins,J4
RC0603FR-07100KL,3,Yageo,R1 R14 R15
RC0603FR-07100RL,8,Yageo,R10 R12 R17 R18 R19 R20 R21 R22
RC0603FR-0710KL,3,Yageo,R11 R13 R16
RC0603FR-0715KL,1,Yageo,R4
RC0603FR-071KL,4,Yageo,R29 R30 R34 R35
RC0603FR-0747KL,2,Yageo,R27 R28
RC0603FR-074K7L,1,Yageo,R5
RC0603FR-0751RL,1,Yageo,R3
RC0603FR-075K1L,3,Yageo,R2 R25 R26
SRN6045TA-4R7M,1,Bourns,L1
USB4105-GF-A,1,GCT,J6
USBLC6-2SC6,1,STMicroelectronics,U7
XT30PW-M,1,Amass,J1
