Manufacturer Part Number,Quantity,Manufacturer,Customer Reference
0468003.NR,5,Littelfuse,F1
06035A150JAT2A,10,Kyocera AVX,C25 C26
06035A471JAT2A,5,Kyocera AVX,C4
ABM8-8.000MHZ-10-1-U-T,5,Abracon,Y1
AO3401A,5,Alpha & Omega,Q1
B3B-XH-A(LF)(SN),10,JST,J2 J3
BLM15AG601SN1D,10,Murata,FB2 FB3
BLM18AG601SN1D,5,Murata,FB1
BZT52C10-7-F,5,Diodes Inc,D2
CL10A105KB8NNNC,5,Samsung,C21
CL10A475KP8NNNC,5,Samsung,C20
CL10B104KB8NNNC,5,Samsung,C3
"CMS06(TE12L,Q,M)",5,Toshiba,D3
CRA2512-FZ-R020ELF,5,Bourns,R33
EEE-FK1A101P,5,Panasonic,C11
EEE-FK1H470P,5,Panasonic,C1
GJM1555C1H470JB01D,5,Murata,C32
GRM21BR61A106KE19L,20,Murata,C19 C29 C30 C35
GRM21BR61C106KE15L,5,Murata,C12
GRM31CR71E106KA12L,10,Murata,C5 C6
GRM32ER71H106KA12L,5,Murata,C2
ICM-20948,5,TDK InvenSense,U6
INA180A1IDBVR,5,Texas Instruments,U8
KGM15ACG1H104KT,70,Kyocera AVX,C13 C14 C15 C16 C17 C18 C22 C23 C24 C31 C33 C34 C36 C37
KMR221GLFS,5,C&K,SW1
LTST-C193KGKT-5A,5,Lite-On,D5
LTST-C193KRKT-5A,5,Lite-On,D8
LTST-C193KSKT-5A,5,Lite-On,D7
LTST-C193TBKT-5A,5,Lite-On,D6
"PESD5V0S1BA,115",10,Nexperia,D10 D11
PPTC051LFBN-RC,5,Sullins,J4
R1240N001B-TR-FE,5,Nisshinbo,U2
RC0603FR-07100KL,15,Yageo,R1 R14 R15
RC0603FR-07100RL,40,Yageo,R10 R12 R17 R18 R19 R20 R21 R22
RC0603FR-0710KL,15,Yageo,R11 R13 R16
RC0603FR-0715KL,5,Yageo,R4
RC0603FR-071KL,20,Yageo,R29 R30 R34 R35
RC0603FR-072K2L,10,Yageo,R23 R24
RC0603FR-0747KL,15,Yageo,R27 R28 R31
RC0603FR-074K7L,5,Yageo,R5
RC0603FR-0751RL,5,Yageo,R3
RC0603FR-075K1L,15,Yageo,R2 R25 R26
RC0603FR-076K8L,5,Yageo,R32
SN74AHCT1G125DBVR,10,Texas Instruments,U4 U5
SRN6045TA-4R7M,5,Bourns,L1
STM32F446RET6,5,STMicroelectronics,U1
USB4105-GF-A,5,GCT,J6
USBLC6-2SC6,5,STMicroelectronics,U7
XT30PW-M,5,Amass,J1
